Symbol ,Series ,LTP ,%chng ,Mkt Cap (₹ Crores),Volume (Lakhs),Value (₹ Crores)
GRSE,EQ,2485.7,0.16,28474.19,96.26,2401.47
DIVISLAB,EQ,6567.5,4.59,174346.49,27.12,1784.2
BSE,EQ,7475,2.69,101193.83,22.6,1672.14
DELHIVERY,EQ,353.4,10.14,26367.03,441.59,1562.35
CDSL,EQ,1455,3.28,30409.5,95.03,1375.5
GRAPHITE,EQ,560,15.13,10941.03,209.38,1162.4
TITAGARH,EQ,935.8,2.51,12602.77,120.41,1152.12
RVNL,EQ,431.8,5.42,90031.17,265.5,1145.57
BHARTIARTL,EQ,1816.5,0.14,1035787.43,58,1054.64
HDFCBANK,EQ,1937.1,0.12,1483442.08,51.01,988.73
SBIN,EQ,794.45,0.3,709016.44,106.66,849.81
WAAREEENER,EQ,2962.7,1.42,85113.39,27.22,804.7
IRFC,EQ,141.25,1.9,184592.65,562.94,797.4
HEG,EQ,528.3,7.68,10195,143.43,766.42
BAJAJ-AUTO,EQ,8830,4.1,246584.47,8.58,753.19
BAJFINANCE,EQ,9248,0.88,574697.22,7.16,661.52
SWIGGY,EQ,324,0.87,80794.16,198.46,643.25
INDUSINDBK,EQ,782.45,0.29,60957.12,71.93,562.74
INDIGO,EQ,5572.5,0.18,215343.34,9.54,535.05
PAYTM,EQ,873.1,2.43,55695.8,57.43,494.49
RECLTD,EQ,406.95,0.12,107159.05,115.78,473.59
BEML,EQ,3700,1.26,15408.47,12.08,453.7
HDFCAMC,EQ,4809,1.51,102846.8,8.93,429.84
PNB,EQ,101.17,2.28,116274.11,396.9,401.7
PREMEXPLN,EQ,589.9,19.53,3171.37,70.2,398.83
GODREJPROP,EQ,2227,2.34,67073.87,17.65,393.47
NBCC,EQ,116.1,4.52,31347,334.81,385.5
CONCOR,EQ,746.7,2.22,45496.01,51.74,384.86
POWERGRID,EQ,304.25,1.35,282970.87,125.75,380.75
BAJAJHLDNG,EQ,13750,4.87,153028.58,2.69,369.47
DLF,EQ,738.15,3.11,182715.38,50.37,368.65
EICHERMOT,EQ,5528,0.34,151606.64,6.54,364.86
TIINDIA,EQ,3127.1,2.71,60507.47,11.43,362.9
ANGELONE,EQ,2802,0.05,25337.91,12.65,354.68
IRCON,EQ,197.58,4.61,18582.71,174.24,343.42
RITES,EQ,294.4,2.58,14148.98,112.55,335.12
ABFRL,EQ,286.25,2.93,34929.17,115.66,332.96
HEROMOTOCO,EQ,4384,0.89,87686.89,7.54,332.3
SUZLON,EQ,61.69,1,84198.64,533.53,329.62
ITC,EQ,436.1,0.09,545740.76,75.44,328.15
HUDCO,EQ,235.2,0.57,47084.69,138.81,327.17
UNIONBANK,EQ,137.08,3.05,104641.47,236.67,324.43
SRF,EQ,2980,2.23,88334.6,10.85,324.17
APLLTD,EQ,995,8.99,19558.03,31.99,323.16
KOTAKBANK,EQ,2110,0.09,419520.8,15.06,318.17
JSWENERGY,EQ,514.55,2.12,89931.43,60.5,313.44
ASTRAL,EQ,1420.3,4.46,38154.19,22.02,310.67
IREDA,EQ,174.49,0.69,46898.81,172.17,302.73
MCX,EQ,6493,0.67,33113.24,4.58,296.41
INDIANB,EQ,612.05,2.94,82440.93,48.39,295.33
SHRIRAMFIN,EQ,677.8,1.85,127452.42,43.56,294.76
CANBK,EQ,108.09,0.31,98044.67,261.44,283.85
TATAPOWER,EQ,408.6,0.69,130561.57,69.04,282.93
MFSL,EQ,1392.9,2.78,48071.04,20.39,282.46
BAJAJFINSV,EQ,2037.2,0.18,325506.51,13.8,281.41
GAIL,EQ,189.5,1.73,124598.14,144.65,274.42
TATATECH,EQ,761.9,1.46,30907.89,35.92,273.96
HFCL,EQ,89.67,1.4,12936.45,294.94,267.04
CESC,EQ,172.89,4.66,22917.79,153.85,263.31
KFINTECH,EQ,1078.9,1.23,18566.07,24.31,263.15
BANKINDIA,EQ,117.97,3.18,53707.82,221.6,261.07
MAXHEALTH,EQ,1187.2,1.72,115412.7,21.97,260.36
RAILTEL,EQ,396,3.25,12709.16,65.6,259.47
PFC,EQ,418.45,0.17,138092.76,61.45,258.96
JUBLFOOD,EQ,693.7,2.88,45773.46,36.42,250.99
RPOWER,EQ,45.63,1.24,18329.44,529.81,243.55
INDHOTEL,EQ,772.85,0.85,110009.96,31.33,242.87
BANKBARODA,EQ,239.89,1.25,124055.81,100.71,241.49
NCC,EQ,235.44,3.63,14782.02,102.24,240.14
INOXWIND,EQ,185.78,3.31,24221.88,127.09,236.72
HYUNDAI,EQ,1893,2.02,153814.03,12.4,232.32
SAMMAANCAP,EQ,126.33,0.9,10464.56,176.23,223.58
HINDALCO,EQ,661.45,0.59,148642.8,33.21,218.45
NATIONALUM,EQ,182.5,3,33518.53,118.82,216.05
NTPC,EQ,345.25,0.63,334777.4,62.18,214.91
KRBL,EQ,350,8.04,8011.15,60.76,210.82
HAVELLS,EQ,1584.4,0.44,99332.65,13.26,210.43
VEDL,EQ,442.25,0.24,172936.91,47.07,208.88
AEGISLOG,EQ,909,4.78,31905.9,23.62,208.04
SUPREMEIND,EQ,3855,4.7,48968.86,5.4,205.95
IDBI,EQ,89.74,4.35,96492.06,229.19,205.3
WENDT,EQ,8652,1.88,1730.4,2.33,202.53
NETWEB,EQ,1840,0.45,10424.31,10.96,202.37
NUCLEUS,EQ,1323.95,11.61,3485.34,15.07,198.08
ZENTEC,EQ,1884.5,5,17015.22,10.46,197.19
CAMS,EQ,3955,1.65,19553.55,4.96,195.43
LIQUIDCASE,EQ,108.62,0.02,4769.02,179.6,195.06
MAHABANK,EQ,53.2,4.19,40919.07,354.73,188.18
LODHA,EQ,1421,1.88,141788.95,13.2,187.31
SIEMENS,EQ,3103,1.09,110504.19,5.97,184.88
BLUESTARCO,EQ,1627,4.08,33453.53,11.37,184.11
ASTRAMICRO,EQ,1084.05,1.05,10292.51,16.91,183.28
OBEROIRLTY,EQ,1735,3.51,63084.99,10.64,183.25
BAJAJHFL,EQ,126.2,1.86,105154.06,143.62,181.54
MOTHERSON,EQ,148.01,0.66,104144.2,122.3,181.28
FEDERALBNK,EQ,201.8,1.39,49587.99,89.69,180.82
ASHOKLEY,EQ,242.8,2.3,71298.88,73.21,175.05
GRAVITA,EQ,2107.4,3.8,15554.39,8.26,174.59
KEC,EQ,816.8,2.02,21743.22,20.94,172.69
USHAMART,EQ,332.8,6.8,10141.81,49.84,165.04
UCOBANK,EQ,32.22,4,40402.46,512.66,164.77
POLYMED,EQ,2443,0.98,24753.87,6.88,163.94
ANANTRAJ,EQ,520.65,1.27,17871.86,30.31,157.87
AARTIIND,EQ,487.6,2.73,17676.48,31.91,155.22
ULTRACEMCO,EQ,11919,0.12,351228.1,1.28,153.11
UNITDSPR,EQ,1559,1.21,113394,9.82,152.84
COROMANDEL,EQ,2481.4,1.24,73111.06,6.16,151.29
AARTIPHARM,EQ,854,7.22,7740.2,17.85,150.33
IFCI,EQ,51.83,0.12,13964.63,285.53,149.85
BLS,EQ,398.6,1.23,16411.99,37.61,149.8
SOUTHBANK,EQ,28.84,4.68,7545.41,512.44,147.43
CHOLAFIN,EQ,1635,0.97,137507.23,8.93,145.8
HBLENGINE,EQ,587.2,3.24,16276.89,24.65,144.44
OLAELEC,EQ,52.57,0.86,23187.73,270.02,143.76
VOLTAS,EQ,1270.5,0.72,42038.91,11.28,143.53
AVANTEL,EQ,134.68,10.21,3568.51,103.41,139.75
KEI,EQ,3469,0.17,33147.2,4.01,138.51
ITCHOTELS,EQ,203.05,0.14,42258.18,65.47,133.4
INOXGREEN,EQ,161,8.63,5908.97,84.98,133.4
POWERINDIA,EQ,15990,1.18,71271.21,0.83,132.68
LAURUSLABS,EQ,609.95,1.14,32891.71,21.6,131.95
SJVN,EQ,104.81,0.59,41188.18,124.68,131.92
HINDCOPPER,EQ,226.15,0.07,21869.25,56.86,129.98
