Symbol ,Series ,LTP ,%chng ,Mkt Cap (₹ Crores),Volume (Lakhs),Value (₹ Crores)
COCHINSHIP,EQ,1982,-2.63,52142.61,197.76,4063.77
MAZDOCK,EQ,3422,-2.85,138036.64,83.75,2912.27
HAL,EQ,5016,-2.18,335457.54,48.03,2427.53
BEL,EQ,363,-0.25,265344.97,520.04,1909.89
INFY,EQ,1557.9,-2.01,647135.34,88.56,1386.32
PARAS,EQ,1714.7,-4.71,6909.15,71.07,1258.83
IDEA,EQ,6.75,-8.41,73131.55,17122.12,1171.15
DATAPATTNS,EQ,2806,-2.17,15709.1,37.28,1105.83
RELIANCE,EQ,1442.9,-0.93,1952600.48,61.96,894.47
TCS,EQ,3518,-1.22,1272843.19,25.37,893.76
BDL,EQ,1826,-0.87,66934.31,48.52,893.33
ICICIBANK,EQ,1447,-0.48,1031581.47,60.05,871.55
TATAMOTORS,EQ,728.7,-0.27,268259.88,104.6,766.89
M&M,EQ,3125,-0.34,388602.76,20.11,630.26
JWL,EQ,408.95,-3.1,17359.85,130.4,566.12
AXISBANK,EQ,1203,-0.48,372730.7,45.5,549.66
LT,EQ,3596.6,-0.22,494633.59,15.19,547.09
ETERNAL,EQ,238.25,-3.06,229919.6,218.18,525.39
KAYNES,EQ,6090,-2.75,39027.34,8.02,492.1
PREMIERENE,EQ,1089.8,-3.21,49125.39,42.33,472.97
INDUSTOWER,EQ,388.95,-2.87,102611.34,115.17,451.63
DIXON,EQ,16590,-0.42,99932.67,2.46,408.5
BHEL,EQ,244.45,-2.36,85119.04,157.3,389.57
POLICYBZR,EQ,1695,-3.48,77844.11,21.44,363.81
SUNPHARMA,EQ,1729,-0.34,414845.02,20.74,361.08
TATASTEEL,EQ,157.25,-0.19,196303.46,218.4,343.21
VBL,EQ,496.3,-1.07,167841.99,68.23,341.08
TRENT,EQ,5545,-0.68,197117.8,6.05,337.66
ADANIGREEN,EQ,1014,-0.6,160620.89,31.77,325.01
NYKAA,EQ,197.06,-2.35,56328.98,158.55,320.49
MARUTI,EQ,12950,-0.35,407151.33,2.44,317.17
YESBANK,EQ,21.17,-1.76,66381.02,1465.28,313.42
JINDALSTEL,EQ,969,-1.28,98846.54,31.78,308.2
LICHSGFIN,EQ,601.3,-3.19,33075.29,48.29,291.87
JIOFIN,EQ,276.85,-0.05,175886.73,102.02,283.3
CIPLA,EQ,1491,-0.59,120419.18,18.58,277.86
DRREDDY,EQ,1215.6,-1.23,101436.39,22.36,273.55
HCLTECH,EQ,1651,-0.54,448026.11,16.42,270.67
AMBER,EQ,6248.5,-2.42,21146.18,4.26,269.18
PATANJALI,EQ,1729,-3.14,62620.49,15,262.19
TVSMOTOR,EQ,2825.6,-0.56,134240.61,8.41,239.05
SOLARINDS,EQ,13700,-2.32,123971.38,1.69,234.21
COFORGE,EQ,8280,-1.73,55375.69,2.78,231.38
CUMMINSIND,EQ,3014.9,-0.68,83573.03,7.59,228.34
BBL,EQ,3096.3,-10.43,3499.79,7.37,228.17
HINDUNILVR,EQ,2381,-0.02,559437.68,9.37,223.75
COALINDIA,EQ,402.85,-0.48,248265.51,54.47,220.03
NHPC,EQ,89.2,-0.57,89601.71,243.93,218.39
APOLLOHOSP,EQ,6980,-0.5,100361.69,3.07,215.07
ADANIPOWER,EQ,561.3,-0.74,216489.98,37.96,214.57
TEJASNET,EQ,740.1,-0.07,13051.58,27.68,206.83
ONGC,EQ,246.5,-0.31,310103.88,80.43,198.47
ADANIENSOL,EQ,890,-2.74,106914.16,21.21,190.25
MUTHOOTFIN,EQ,2085.8,-0.9,83737.34,8.82,184.45
ADANIPORTS,EQ,1396.7,-0.76,301706.61,13.17,184.36
BHARATFORG,EQ,1258.9,-0.32,60186.58,14.27,180.4
CHAMBLFERT,EQ,622.5,-1.52,24940.61,28.41,177.32
APOLLO,EQ,139.8,-0.42,4284.72,123.98,174.79
STARHEALTH,EQ,447.5,-0.75,26303.44,39.35,174.65
ADANIENT,EQ,2538,-0.67,292931.07,6.81,174.12
WIPRO,EQ,251.55,-1.09,263538.55,67.89,171.51
LUPIN,EQ,2028.8,-1.91,92638.36,8.25,168.89
CREDITACC,EQ,1121,-6.95,17904.57,14.9,168.62
PERSISTENT,EQ,5665.5,-0.59,88296.82,2.88,163.55
PROTEAN,EQ,1143.2,-19.99,4635.47,13.99,161.03
TEXRAIL,EQ,160.26,-1.83,6401.86,98.84,160.18
SCI,EQ,186.7,-1.1,8696.47,83.95,159.63
GRASIM,EQ,2723,-2.9,185301.81,5.76,158.34
ZEEL,EQ,128.3,-1.06,12323.46,121.85,156.95
KALYANKJIL,EQ,560,-0.07,57760.38,27.97,156.56
JSWSTEEL,EQ,1018.7,-0.3,249118.4,14.35,146.69
CROMPTON,EQ,351,-0.07,22597.7,41.2,146.08
CGPOWER,EQ,696.3,-0.02,106466.02,19.9,138.9
TITAN,EQ,3612,-0.6,320668.36,3.77,136.66
NMDC,EQ,70.19,-0.11,61709.77,193.53,136.44
IRCTC,EQ,805,-0.5,64400,16.55,134.1
HEXT,EQ,745,-3.37,45273.25,17.75,132.8
